"Name","School","Conference","Overall","Routes","Hands","Run Block","Pass Block"
"Drew Hall","Navy","Amer","7.00","7.00","7.00","7.00","7.00"
"Ty Rupe","UTSA","Amer","6.98","6.98","6.98","9.08","6.98"
"Zeke Wimbush","Lib","CUSA","6.98","7.34","2.61","10.36","10.10"
"Cyrus Ellison","CoCar","SBC","6.96","7.28","5.70","0.30","0.28"
"Sean Burke","FIU","CUSA","6.90","6.90","6.90","9.62","9.39"
"Walter Taylor","Vand","SEC","6.76","6.76","6.76","8.68","6.76"
"Dylan Mesman","Lou","ACC","6.71","6.71","6.71","10.40","6.71"
"Cole Coonrod","Ball","MAC","6.65","6.65","6.65","6.65","6.65"
"Reece Little","BG","MAC","6.65","6.65","6.65","6.65","6.65"
"Enese Tonga","WMich","MAC","6.65","6.65","6.65","6.65","6.65"
"Grant McAtee","Tuls","Amer","6.65","6.65","6.65","6.65","6.65"
"Adam Molitor","Mizz","SEC","6.65","6.65","6.65","6.65","6.65"
"John Tofi Jr.","Cal","ACC","6.64","6.64","6.64","8.63","9.75"
"Brian Hnat","JMU","SBC","6.58","6.58","6.58","9.78","6.58"
"Quad Harrison","ULM","SBC","6.49","6.49","6.49","8.86","9.10"
"Luke Seib","LATech","SBC","6.49","6.47","6.47","7.97","5.96"
"Kai Rios","MichSt","Big10","6.46","8.49","12.09","1.40","1.42"
"Andrew Metzger","Ohio","MAC","6.46","6.46","6.46","10.21","6.46"
"Markus Dixon","Ore","Big10","6.44","6.44","6.44","10.31","7.91"
"Brady Clough","BC","ACC","6.44","7.89","6.81","5.99","7.00"
"Cash Pomeroy","MOSt","CUSA","6.42","6.42","6.42","6.42","6.42"
"Mason Riggins","Ball","MAC","6.42","6.42","6.42","6.42","6.42"
"James Giggey","AZSt","Big12","6.39","6.39","6.39","9.03","6.39"
"Adon Turner","EMich","MAC","6.30","6.30","6.30","6.30","6.30"
"Myles Peters","CMich","MAC","6.30","6.30","6.30","6.30","6.30"
"Josh Greer","Army","Amer","6.30","6.30","6.30","6.30","6.30"
"Bodie Boydstun","OKSt","Big12","6.30","6.30","6.30","6.30","6.30"
"Carson Gulker","MichSt","Big10","6.30","6.30","6.30","6.30","6.30"
"David Lalaian","UGA","SEC","6.30","6.30","6.30","6.30","6.30"
"Ryan Brotherton","WMich","MAC","6.27","6.27","6.27","8.32","6.27"
"Gavin Noe","Navy","Amer","6.25","6.25","6.25","7.42","7.60"
"Kade McIntyre","OU","SEC","6.21","6.22","6.11","12.13","10.04"
"Kade Caton","USF","Amer","6.04","6.04","6.04","10.67","6.04"
"Keayen Nead","BYU","Big12","6.00","5.27","4.92","5.52","3.53"
"Jaylen Jordon","Fla","SEC","5.95","5.95","5.95","5.95","5.95"
"Ryan Boultwood","SJSt","MWC","5.92","5.92","5.92","10.53","9.63"
"Dominic Toy","ColSt","Pac12","5.83","5.83","5.83","9.50","9.03"
"Baron Naone","Wash","Big10","5.79","5.79","5.79","11.93","10.12"
"Ethan Barbour","UGA","SEC","5.76","5.76","5.76","12.53","11.09"
"Eric Ingwerson","Neb","Big10","5.74","5.74","5.74","10.43","10.20"
"Peyton Fox","Bama","SEC","5.63","5.63","5.63","6.78","5.63"
"Breylen Gilbert","Ark","SEC","5.60","5.60","5.60","5.60","5.60"
"Luke Meeker","SacSt","MAC","5.60","5.60","5.60","5.60","5.60"
"Josh Tripp","Mass","MAC","5.60","5.60","5.60","5.60","5.60"
"Caden Beck","UNM","MWC","5.60","5.60","5.60","5.60","5.60"
"Enrique Zatarain","UNM","MWC","5.60","5.60","5.60","5.60","5.60"
"Trey Moore","UNM","MWC","5.60","5.60","5.60","5.60","5.60"
"Sylas Austin","Fres","Pac12","5.60","5.60","5.60","5.60","5.60"
"Andrew Rickelman","Kent","MAC","5.60","5.60","5.60","5.60","5.60"
"Maddox Sills","Del","CUSA","5.60","5.60","5.60","5.60","5.60"
"Darren Pinkard","KennSt","CUSA","5.60","5.60","5.60","5.60","5.60"
"Broderick Redden","Utah","Big12","5.60","5.60","5.60","5.60","5.60"
"Jace Nixon","Fres","Pac12","5.58","5.58","5.58","8.56","5.58"
"Colton Heinrich","UGA","SEC","5.58","5.58","5.58","11.58","11.22"
"Arvis Battle Jr.","TexSt","Pac12","5.55","5.55","5.55","10.18","5.55"
"Hawkins Polley","Bay","Big12","5.54","5.64","5.54","11.25","8.18"
"Jackson Gister","Rut","Big10","5.53","5.63","5.28","5.12","4.17"
"Gage Reale","ECU","Amer","5.46","5.46","5.46","6.41","5.46"
"Deems May","UNC","ACC","5.43","6.18","5.69","7.11","4.21"
"Charlie Johnson","Clem","ACC","5.35","5.36","3.82","5.76","3.82"
"Max Friedman","SJSt","MWC","5.25","5.25","5.25","5.25","5.25"
"Dalen Huston","ULM","SBC","5.25","5.25","5.25","5.25","5.25"
"Chance Bell","UTEP","MWC","5.25","5.25","5.25","5.25","5.25"
"Glen Weber","NIU","MWC","5.25","5.25","5.25","5.25","5.25"
"Caleb Haack","NIU","MWC","5.25","5.25","5.25","5.25","5.25"
"Isaac Ellison","NDSt","MWC","5.25","5.25","5.25","5.25","5.25"
"John Condakes","Mass","MAC","5.25","5.25","5.25","5.25","5.25"
"Anthony Hickman","Haw","MWC","5.25","5.25","5.25","5.25","5.25"
"Matthew Bailiff","Haw","MWC","5.25","5.25","5.25","5.25","5.25"
"Collin Remenowksy","UtSt","Pac12","5.25","5.25","5.25","5.25","5.25"
"Alex Faiivae","UtSt","Pac12","5.25","5.25","5.25","5.25","5.25"
"Aldin Bilalbegovic","UNM","MWC","5.25","5.25","5.25","5.25","5.25"
"Benjamin Wheeler","Nev","MWC","5.25","5.25","5.25","5.25","5.25"
"Trace Estes","Nev","MWC","5.25","5.25","5.25","5.25","5.25"
"Dallas Gaius-Anyaegbu","Fres","Pac12","5.25","5.25","5.25","5.25","5.25"
"Gavin Correia","Fres","Pac12","5.25","5.25","5.25","5.25","5.25"
"Ryan Lewis","Fres","Pac12","5.25","5.25","5.25","5.25","5.25"
"Kole Tompkins","AirF","MWC","5.25","5.25","5.25","5.25","5.25"
"Mitchell Blakeslee","AirF","MWC","5.25","5.25","5.25","5.25","5.25"
"Henry Barbisch","AirF","MWC","5.25","5.25","5.25","5.25","5.25"
"Jack Petrissans","AirF","MWC","5.25","5.25","5.25","5.25","5.25"
"Jaxson Bowman","Del","CUSA","5.25","5.25","5.25","5.25","5.25"
"Drew Bilderback","SMiss","SBC","5.25","5.25","5.25","5.25","5.25"
"Stone Rozak","Buff","MAC","5.25","5.25","5.25","5.25","5.25"
"Trace Thompson","JackSt","CUSA","5.25","5.25","5.25","5.25","5.25"
"Shane Payton Hodges","JackSt","CUSA","5.25","5.25","5.25","5.25","5.25"
"Thomas Guillemette","JMU","SBC","5.25","5.25","5.25","5.25","5.25"
"Thatcher Miller","JMU","SBC","5.25","5.25","5.25","5.25","5.25"
"Cam McFarlin","SoAla","SBC","5.25","5.25","5.25","5.25","5.25"
"Jayvin Bennett","Troy","SBC","5.25","5.25","5.25","5.25","5.25"
"Duke Frye","NMSt","CUSA","5.25","5.25","5.25","5.25","5.25"
"Calvin Moody","Ohio","MAC","5.25","5.25","5.25","5.25","5.25"
"Riley Palmeter","Ohio","MAC","5.25","5.25","5.25","5.25","5.25"
"Christopher Kaup","MTSU","CUSA","5.25","5.25","5.25","5.25","5.25"
"Koraun Perdue","MTSU","CUSA","5.25","5.25","5.25","5.25","5.25"
"Jackson DeAtley","Rice","Amer","5.25","5.25","5.25","5.25","5.25"
"Maika Kurkowski","FAU","Amer","5.25","5.25","5.25","5.25","5.25"
"Peter Cannon","FAU","Amer","5.25","5.25","5.25","5.25","5.25"
"John Allen","Tul","Amer","5.25","5.25","5.25","5.25","5.25"
"Jacob Holland","ECU","Amer","5.25","5.25","5.25","5.25","5.25"
"Kuba Malecki","Tuls","Amer","5.25","5.25","5.25","5.25","5.25"
"Max Moore","Tuls","Amer","5.25","5.25","5.25","5.25","5.25"
"Evan Mickow","Tul","Amer","5.25","5.25","5.25","5.25","5.25"
"Cole Clement","BYU","Big12","5.25","5.25","5.25","5.25","5.25"
"Carson Edney","IASt","Big12","5.25","5.25","5.25","5.25","5.25"
"Fisher Melton","USC","Big10","5.25","5.25","5.25","5.25","5.25"
"Torrence Williams","Ore","Big10","5.25","5.25","5.25","5.25","5.25"
"Luke Shorter","Purd","Big10","5.25","5.25","5.25","5.25","5.25"
"Jack Gaskins","Duke","ACC","5.25","5.25","5.25","5.25","5.25"
"Evan Jacobson","A&M","SEC","5.25","5.25","5.25","5.25","5.25"
"Brennan Wooten","WMich","MAC","5.24","5.24","5.24","9.61","8.95"
"Devin Habermehl","NIU","MWC","5.22","5.22","5.22","9.65","10.46"
"Jaden Hamm","ArkSt","SBC","5.17","5.17","5.17","10.34","10.94"
"Luke Braden","A&M","SEC","5.17","5.17","5.17","7.08","6.90"
"Joe Stein","NIU","MWC","5.16","5.16","5.16","7.94","5.16"
"Danny Edgehille","BC","ACC","5.15","5.15","5.15","7.58","5.15"
"Brady Kopetz","Col","Big12","5.13","5.13","5.13","8.87","5.13"
"James Flanigan","ND","Inde","5.11","5.11","5.11","12.15","11.02"
"Davis Ambuehl","SacSt","MAC","5.10","5.10","5.10","5.10","5.10"
"Danny King","Neb","Big10","5.10","5.10","5.10","5.56","5.10"
"Bryce Chambers","Tex","SEC","5.10","5.10","5.10","5.45","5.10"
"Maurice Smith Jr.","Illini","Big10","5.07","5.45","5.87","3.76","3.76"
"Jackson Bowers","OreSt","Pac12","5.06","5.06","5.06","11.33","12.00"
"Daniel Owens","Mary","Big10","5.04","5.04","5.04","9.12","12.39"
"Hayden Rollison","UVA","ACC","5.01","5.55","3.85","6.50","2.57"
"James Rexroat","MOSt","CUSA","4.98","4.98","4.98","8.14","5.83"
"Nate Forystek","SoAla","SBC","4.96","4.96","4.96","5.41","4.96"
"Jake Furtney","Ohio","MAC","4.95","4.95","4.95","5.63","5.68"
"Kellen Davis","Cincy","Big12","4.95","4.95","4.95","5.71","4.95"
"Brandon Hettwer","Marsh","SBC","4.90","4.90","4.90","4.90","4.90"
"Aubrey Heath","GASo","SBC","4.90","4.90","4.90","4.90","4.90"
"Aj Carlson","ArkSt","SBC","4.90","4.90","4.90","4.90","4.90"
"Tim Boals","Ohio","MAC","4.90","4.90","4.90","4.90","4.90"
"Gavin Spillers","CMich","MAC","4.90","4.90","4.90","4.90","4.90"
"David Wise","Temp","Amer","4.90","4.90","4.90","4.90","4.90"
"Truitt Brown","Pitt","ACC","4.90","4.90","4.90","4.90","4.90"
"Dominic DeSarno","BC","ACC","4.90","4.90","4.90","4.90","4.90"
"Lachlan Teissier","Zona","Big12","4.90","4.90","4.90","4.90","4.90"
"Mitch Nielsen","Utah","Big12","4.90","4.90","4.90","4.90","4.90"
"Josh Davis","BYU","Big12","4.90","4.90","4.90","4.90","4.90"
"Ryan Bayoumy","Rut","Big10","4.90","4.90","4.90","4.90","4.90"
"Jackson Berryman","Purd","Big10","4.90","4.90","4.90","4.90","4.90"
"Will Vala III","Illini","Big10","4.90","4.90","4.90","4.90","4.90"
"Blake Ragsdale","GATech","ACC","4.90","4.90","4.90","4.90","4.90"
"Hutson Hendrix","Ark","SEC","4.90","4.90","4.90","4.90","4.90"
"Landon Craig","LSU","SEC","4.90","4.90","4.90","4.90","4.90"
"Tripp Brown Jr.","Fla","SEC","4.90","4.90","4.90","4.90","4.90"
"Jaxon Shuttlesworth","Bama","SEC","4.90","4.90","4.90","4.90","4.90"
"Lyviel Waters","Cincy","Big12","4.87","4.87","4.87","6.22","4.87"
"Scott Isacks","UAB","Amer","4.81","4.67","4.48","8.84","4.26"
"Brown Reaves","CoCar","SBC","4.78","4.78","4.78","9.85","10.21"
"JT Tang","Troy","SBC","4.76","4.76","4.76","5.09","4.76"
"Abraham Myers","NDSt","MWC","4.69","4.69","4.69","4.69","4.69"
"Jack Olyphant","Cal","ACC","4.69","4.69","4.69","5.86","6.08"
"Garrett Long","Kent","MAC","4.66","4.66","4.66","8.86","9.10"
"DJ Cicero","Tul","Amer","4.62","4.62","4.62","5.27","4.62"
"Reno Roehm","SoCar","SEC","4.62","4.62","4.62","5.16","4.62"
"Noah Nelson","NDSt","MWC","4.57","4.57","4.57","4.57","4.57"
"Kaleb Johnson","ND","Inde","4.55","4.55","4.55","4.55","4.55"
"Holtz Maine","Kent","MAC","4.55","4.55","4.55","4.55","4.55"
"Lucas Andresen","Ball","MAC","4.55","4.55","4.55","4.55","4.55"
"Caston Brown","SMiss","SBC","4.55","4.55","4.55","4.55","4.55"
"Nathan Hartman","ODU","SBC","4.55","4.55","4.55","4.55","4.55"
"Wes Ryan","JackSt","CUSA","4.55","4.55","4.55","4.55","4.55"
"Owen Carlson","SoAla","SBC","4.55","4.55","4.55","4.55","4.55"
"Maddox Lynch","SoAla","SBC","4.55","4.55","4.55","4.55","4.55"
"Aiden Falgout","ULLaf","SBC","4.55","4.55","4.55","4.55","4.55"
"Kyle Mullenix","GaSt","SBC","4.55","4.55","4.55","4.55","4.55"
"Andrew Staten","ArkSt","SBC","4.55","4.55","4.55","4.55","4.55"
"Coleman Parmer","ArkSt","SBC","4.55","4.55","4.55","4.55","4.55"
"Maximus Howard","Tol","MAC","4.55","4.55","4.55","4.55","4.55"
"Noam Butbul","MiaOH","MAC","4.55","4.55","4.55","4.55","4.55"
"Skylar Kirk","LATech","SBC","4.55","4.55","4.55","4.55","4.55"
"Breckan Kirby","Lib","CUSA","4.55","4.55","4.55","4.55","4.55"
"Remy Goins","FIU","CUSA","4.55","4.55","4.55","4.55","4.55"
"Cole Ramseur","UTSA","Amer","4.55","4.55","4.55","4.55","4.55"
"Will Swartz","Rice","Amer","4.55","4.55","4.55","4.55","4.55"
"Gage Brook","Wyo","MWC","4.55","4.55","4.55","4.55","4.55"
"Jack Lua","SDSU","Pac12","4.55","4.55","4.55","4.55","4.55"
"Cal Lehman","SDSU","Pac12","4.55","4.55","4.55","4.55","4.55"
"Connor Irons","SDSU","Pac12","4.55","4.55","4.55","4.55","4.55"
"Garrett Essner","Mem","Amer","4.55","4.55","4.55","4.55","4.55"
"Aidan O'Callaghan","Mem","Amer","4.55","4.55","4.55","4.55","4.55"
"Henry Omohundro","UVA","ACC","4.55","4.55","4.55","4.55","4.55"
"Will Locke","SMU","ACC","4.55","4.55","4.55","4.55","4.55"
"Adam Howanitz","Pitt","ACC","4.55","4.55","4.55","4.55","4.55"
"Jacob Nye","BYU","Big12","4.55","4.55","4.55","4.55","4.55"
"Conlee Hovey","KU","Big12","4.55","4.55","4.55","4.55","4.55"
"Cash Hayden","IASt","Big12","4.55","4.55","4.55","4.55","4.55"
"Charlie Baker","MichSt","Big10","4.55","4.55","4.55","4.55","4.55"
"Brody Jones","VT","ACC","4.55","4.55","4.55","4.55","4.55"
"Ridge Barker","Tex","SEC","4.55","4.55","4.55","4.55","4.55"
"Sione Motuapuaka","Utah","Big12","4.50","4.50","4.50","9.33","11.62"
"Ethan Wood","BYU","Big12","4.50","4.50","4.50","5.46","4.50"
"Luke Logan","OKSt","Big12","4.50","4.50","4.50","5.67","4.50"
"Elijah Rooney","Vand","SEC","4.50","4.50","4.50","5.49","4.50"
"AJ Petersen","IASt","Big12","4.46","4.46","4.46","4.70","4.46"
"AJ Miller","Ohio","MAC","4.43","4.43","4.43","8.33","4.43"
"Henry Gregory","GASo","SBC","4.42","4.42","4.42","4.75","4.42"
"Brock Kuhl","SHSt","CUSA","4.42","4.42","4.42","4.42","4.78"
"Dylan Reiman","MiaFL","ACC","4.42","4.42","4.42","4.77","4.42"
"Travis Egan","Lou","ACC","4.42","4.42","4.42","4.77","4.42"
"Carter Braugh","A&M","SEC","4.42","4.42","4.42","4.77","4.42"
"Hunter Ousley","Aub","SEC","4.38","4.38","4.38","6.03","6.36"
"Jack Harper","Miss","SEC","4.29","4.29","4.29","5.08","4.29"
"Aiden Howard","Buff","MAC","4.27","4.27","4.27","9.57","4.27"
"Isaiah Butler-Tanner","UTSA","Amer","4.25","4.25","4.25","9.87","11.64"
"Hudson Powell","Tex","SEC","4.25","4.25","4.25","4.68","5.05"
"Ryder Post","JMU","SBC","4.23","4.23","4.23","6.09","5.50"
"Peter Bario","UCLA","Big10","4.23","4.23","4.23","6.50","4.23"
"Austin Ratigan","ND","Inde","4.20","4.20","4.20","4.20","4.20"
"Leo Collins","Ball","MAC","4.20","4.20","4.20","4.20","4.20"
"Nick Leonard","Buff","MAC","4.20","4.20","4.20","4.20","4.20"
"Clint Walker","Buff","MAC","4.20","4.20","4.20","4.20","4.20"
"Ocean Brabbs","BG","MAC","4.20","4.20","4.20","4.20","4.20"
"Emiliano Soldevilla","ULLaf","SBC","4.20","4.20","4.20","4.20","4.20"
"Jadin Hambrick","MTSU","CUSA","4.20","4.20","4.20","4.20","4.20"
"Sawyer Lovvorn","MTSU","CUSA","4.20","4.20","4.20","4.20","4.20"
"Luke Gilbert","JackSt","CUSA","4.17","4.17","4.17","5.12","5.18"
"Landon Swanson","CMich","MAC","4.17","4.17","4.17","5.07","4.17"
"Tommy Arnold","Kent","MAC","4.15","4.15","4.15","6.03","6.69"
"Crandall Quinn","Mich","Big10","4.15","4.15","4.15","6.30","4.15"
"Carter Eck","Nev","MWC","4.13","4.13","4.13","6.55","6.92"
"Sean Persson","UAB","Amer","4.12","4.12","4.12","6.95","4.12"
"Nathan Sines","WMich","MAC","4.12","4.12","4.12","4.34","4.12"
"Cole Reemsnyder","VT","ACC","4.10","4.10","4.10","5.29","4.10"
"Hunter Carver","MiaFL","ACC","4.08","4.08","4.08","4.43","4.08"
"Jason Jeffares","Char","Amer","4.06","4.06","4.06","5.48","4.06"
"Devyn Zahursky","Cincy","Big12","4.05","4.14","4.23","11.27","10.61"
"Arthur Ban","Zona","Big12","4.01","4.01","4.01","9.26","10.01"
"Bo Burklow","Lib","CUSA","4.00","4.00","4.00","9.08","9.81"
"Justin Kattus","UK","SEC","3.96","3.96","3.96","4.64","3.96"
"Ty Thompson","Tul","Amer","3.86","3.86","3.86","11.24","3.86"
"Carson Kolb","OKSt","Big12","3.86","3.86","3.86","6.79","3.86"
"Aiden Lowery","Ohio","MAC","3.85","3.85","3.85","3.85","3.85"
"Charlie Williams","Col","Big12","3.85","3.85","3.85","3.85","3.85"
"Vance Bolyard","Tul","Amer","3.82","3.82","3.82","10.00","11.32"
"Caden Piening","UCF","Big12","3.81","3.81","3.81","11.03","10.44"
"Noah Prior","Army","Amer","3.78","3.78","3.78","6.55","3.78"
"Vince Benetti","IASt","Big12","3.77","3.77","3.77","7.52","3.77"
"Brayden Johnson","UAB","Amer","3.75","3.75","3.75","5.18","3.75"
"Trey Jackson","SMU","ACC","3.72","3.72","3.72","9.54","12.06"
"Michael Burt","Iowa","Big10","3.70","3.70","3.70","10.17","8.90"
"Thomas McCluskey","Mary","Big10","3.70","3.70","3.70","6.61","7.65"
"Karl Peterson","ODU","SBC","3.67","3.67","3.67","5.78","6.18"
"Tripp Riordan","SMU","ACC","3.63","3.75","3.65","9.48","7.76"
"Luke Douglas","App","SBC","3.60","3.60","3.60","5.77","3.60"
"Jack Esparza","TT","Big12","3.55","3.55","3.55","6.79","3.55"
"Joshua Goines","NMSt","CUSA","3.54","3.54","3.54","9.06","4.83"
"Deven Muniz","LATech","SBC","3.50","3.50","3.50","6.13","3.50"
"Victor Aderungboye","NoTex","Amer","3.47","3.47","3.47","8.41","11.00"
"Finn Furmanek","PSU","Big10","3.41","3.41","3.41","7.86","8.00"
"Jacob Kaminski","CMich","MAC","3.38","3.21","3.39","9.55","9.59"
"Jack Bjorn","IASt","Big12","3.36","3.36","3.36","7.24","3.36"
"James Rothstein","Army","Amer","3.35","3.35","3.35","4.89","3.35"
"Teddy Gawlik","ULLaf","SBC","3.26","3.26","3.26","5.80","5.86"
"Alex Scherle","Ball","MAC","3.25","3.25","3.25","7.36","7.71"
"Tyler Mustain","Zona","Big12","3.25","3.25","3.25","7.42","3.25"
"Simon Kibbee","AirF","MWC","3.06","3.06","3.06","10.09","9.80"
"Jackson Whitacre","Del","CUSA","3.05","3.05","3.05","8.32","9.30"
"Hamilton Atkins","Lou","ACC","3.03","3.03","3.03","6.53","3.03"
"Aiden Miller","WKU","CUSA","3.02","3.02","3.02","6.64","3.02"
"Coleson Arends","WKU","CUSA","2.99","2.99","2.99","5.62","2.99"
"Shawn Rouse","Marsh","SBC","2.97","2.97","2.97","6.74","6.81"
"Will Zundel","BYU","Big12","2.89","2.89","2.89","6.28","2.89"
"Matthew Lusardi","Wake","ACC","2.80","2.80","2.80","9.57","8.52"
"Steven Gorski","ULM","SBC","2.78","2.78","2.78","7.26","8.74"
"Donivon Thomas","Tol","MAC","2.77","2.77","2.77","5.69","4.39"
"Micah Kaonohi-Kaihenui","Haw","MWC","2.49","2.49","2.49","8.39","9.30"
"Brady Rhoads","Char","Amer","2.44","2.44","2.44","6.66","7.85"
"Jake Simpson","TexSt","Pac12","2.42","2.42","2.42","9.52","7.23"
"Cayden Echternach","Neb","Big10","2.36","2.36","2.36","8.51","9.09"
"Will Loerzel","Wake","ACC","2.33","2.33","2.33","10.36","7.45"
"Josh Humes","Del","CUSA","2.23","2.23","2.23","8.37","11.45"
"Kam Bell","JackSt","CUSA","2.13","2.13","2.13","8.72","10.26"
"Tony Boggs","Duke","ACC","2.13","2.13","2.13","10.27","9.93"
"Kaleb Thomas","Hou","Big12","1.84","1.84","1.84","11.11","13.58"
"Jae Beasley II","UNLV","MWC","1.83","1.83","1.83","9.35","12.68"
"Mike Burton","Conn","Inde","1.69","1.69","1.69","2.47","2.72"
"Mason Brown","ECU","Amer","1.59","1.59","1.59","8.86","11.22"
"Brian Dyer","Army","Amer","1.57","1.57","1.57","8.46","1.57"
"Zach Grace","LSU","SEC","1.40","1.40","1.40","9.79","10.47"
"Spencer Shannon","Tex","SEC","1.27","1.27","1.27","11.63","13.72"
"Fabian Rogosch","Troy","SBC","1.03","1.03","1.03","11.37","12.36"
"Nate Green","ULM","SBC","0.63","0.63","0.63","10.11","13.64"
"Blake Van Buren","NW","Big10","0.61","0.61","0.61","11.86","10.89"
"Drew Hardwick","FSU","ACC","0.50","0.50","0.50","0.50","0.50"
