"Name","School","Conference","Overall","Pass Block","Run Block","Discipline"
"Owen Spell","UCF","Big12","10.59","10.19","11.70","13.49"
"Braden Miller","Duke","ACC","10.58","11.12","11.07","14.04"
"Houston Ka'aha'aina-Torres","Mich","Big10","10.58","10.48","11.34","10.68"
"Michael Uini","UGA","SEC","10.58","11.15","6.40","14.89"
"Connor Carty","TT","Big12","10.57","10.17","12.57","12.32"
"Jimmy Williams, III","Lou","ACC","10.57","9.58","11.38","10.29"
"Jake Polito","Navy","Amer","10.57","10.65","7.05","13.79"
"Hannes Hammer","Conn","Inde","10.57","9.95","8.27","10.60"
"Blake Cherry","Wisc","Big10","10.56","10.18","12.25","10.92"
"Deron McLaughlin","Conn","Inde","10.56","10.50","13.15","10.88"
"Devin Davis","USF","Amer","10.56","10.81","9.72","12.82"
"Jacob Russell","CMich","MAC","10.56","11.38","10.00","15.76"
"Daniel Michel","JMU","SBC","10.56","11.13","10.66","11.46"
"Dramodd Odoms","SMU","ACC","10.55","11.70","6.19","12.92"
"Caleb Dorris","Duke","ACC","10.54","9.37","8.45","10.84"
"John Wayne Oliver","Miss","SEC","10.54","10.56","11.99","11.13"
"Gavin Dabo","WMich","MAC","10.54","10.96","7.03","16.20"
"Bryson Summers","SacSt","MAC","10.54","10.86","10.62","14.49"
"Matthew Broussard","ULLaf","SBC","10.54","11.14","8.66","15.16"
"Demetris Dean II","Hou","Big12","10.53","10.53","10.53","10.53"
"Wade Helton","AZSt","Big12","10.53","10.15","11.19","16.22"
"Jakheem Shumpert-Perkins","MissSt","SEC","10.53","10.41","11.00","10.29"
"Devin Brooks","Ore","Big10","10.53","10.50","11.00","10.62"
"Gavin Marks","Tul","Amer","10.53","9.95","11.55","16.20"
"Bodey McCaslin","Iowa","Big10","10.53","10.34","11.65","10.72"
"Justin Hasenhuetl","Cal","ACC","10.52","10.52","10.52","10.52"
"Baker North","ArkSt","SBC","10.52","10.73","10.33","14.60"
"Darion Rivers","Troy","SBC","10.52","10.38","10.89","11.42"
"Kavion Broussard","Ark","SEC","10.52","11.60","9.24","12.21"
"Tai Buster","Aub","SEC","10.51","10.42","11.12","10.69"
"Daniel Calhoun","UGA","SEC","10.50","10.85","11.18","13.34"
"Ashanti Cole","LATech","CUSA","10.50","10.58","12.06","15.58"
"Sam Sledge","Neb","Big10","10.50","10.14","13.69","12.62"
"Austin Barrett","IASt","Big12","10.50","11.38","8.30","12.66"
"Boaz Stanley","Purd","Big10","10.49","10.09","11.64","14.86"
"Donel Robinson","Bay","Big12","10.49","10.49","10.49","10.49"
"Jeremiah Orr","JackSt","CUSA","10.49","10.16","10.46","15.57"
"Manasse Itete","ArkSt","SBC","10.48","10.48","10.48","10.48"
"Seth Smith","SoCar","SEC","10.48","11.21","9.58","15.84"
"Marc Nave Jr.","Purd","Big10","10.48","10.55","10.44","10.17"
"Ben Midea","Kent","MAC","10.47","10.82","9.70","15.77"
"Carter Scruggs","Clem","ACC","10.47","10.47","10.47","10.47"
"Jacob Welch","NIU","MWC","10.47","11.14","6.28","11.18"
"Chastan Brown","FSU","ACC","10.46","10.46","10.46","10.46"
"Greg Klingensmith","Mass","MAC","10.45","10.05","10.52","14.75"
"Thomas Wilder","VT","ACC","10.45","10.45","10.45","10.45"
"Mason Imbt","Kent","MAC","10.45","10.67","10.01","15.66"
"Idrys Cotton","NW","Big10","10.45","10.38","11.02","10.32"
"Joseph Harbert","SJSt","MWC","10.45","10.23","10.48","14.79"
"Lawson Petty","Bay","Big12","10.45","10.71","10.00","14.35"
"J.B. Shabazz","UNC","ACC","10.45","10.45","10.45","10.45"
"Charlie Thom","ND","Inde","10.44","10.44","10.44","10.44"
"Grayson Mains","Temp","Amer","10.44","9.38","12.00","16.85"
"Elias Gillen","TT","Big12","10.44","10.40","10.55","10.03"
"Jordan Coleman","Tex","SEC","10.44","10.26","11.25","10.39"
"Naquil Betrand","Cuse","ACC","10.43","10.55","10.45","12.35"
"Gavin Blanchard","Clem","ACC","10.43","10.36","10.98","10.34"
"Joshua Anderson","EMich","MAC","10.43","10.86","9.52","14.94"
"Isaac Perez","Zona","Big12","10.43","10.35","10.65","14.71"
"Will Way","Wake","ACC","10.43","9.76","12.28","15.25"
"Dennis Jones","SDSU","Pac12","10.42","9.96","10.88","15.25"
"Kaden Snyder","KU","Big12","10.42","10.42","10.42","10.42"
"Brayden Walton","Fres","Pac12","10.42","9.07","12.68","15.63"
"Ratumana Bulabalavu","USC","Big10","10.41","10.39","8.17","10.06"
"Tyler Miller","Nev","MWC","10.41","11.16","6.00","13.21"
"Brayden Walker","ODU","SBC","10.40","9.68","12.81","13.96"
"Jack Foster","Nev","MWC","10.40","10.84","10.44","15.37"
"George Maile","UtSt","Pac12","10.40","11.62","10.97","13.18"
"Kash Courtney","Ark","SEC","10.39","11.13","9.03","12.51"
"Luke Petit","Troy","SBC","10.38","10.90","9.89","16.40"
"Zaden Krempin","A&M","SEC","10.38","10.38","10.38","10.38"
"Andrew Trout","Minn","Big10","10.38","10.38","10.38","10.38"
"Kai Pritchard","Illini","Big10","10.38","10.38","10.38","10.38"
"Jax Tanner","BYU","Big12","10.38","10.38","10.38","10.38"
"Kyle Martin","WashSt","Pac12","10.38","10.70","8.72","15.07"
"Mykeal Rabess","Cal","ACC","10.38","10.20","11.60","11.49"
"Byron Washington","Cuse","ACC","10.37","10.26","9.65","15.09"
"Luke Hamilton","Mich","Big10","10.37","10.37","10.02","10.38"
"King Large","MOSt","CUSA","10.37","10.04","10.13","9.93"
"Ahmad Carwise","Tol","MAC","10.37","9.64","11.93","15.47"
"Tyler McMillan","EMich","MAC","10.37","12.97","8.79","13.96"
"Brady Bekkenhuis","Wisc","Big10","10.37","10.37","10.37","10.37"
"J'Ven Williams","Char","Amer","10.37","13.99","10.30","11.26"
"Kahlil Stewart","Cuse","ACC","10.37","10.23","10.57","10.02"
"Whit Hafer","Mizz","SEC","10.37","10.00","10.91","10.70"
"Nic DiSanto","CMich","MAC","10.36","9.98","10.95","15.85"
"Gabriel Arena","Buff","MAC","10.36","3.35","12.06","13.48"
"Christo Kelly","UNC","ACC","10.35","10.90","10.19","15.45"
"Logan Powell","Wisc","Big10","10.35","10.35","10.35","10.35"
"Bryce Parson","Ohio","MAC","10.35","10.14","10.42","10.40"
"Daveion Harley","FIU","CUSA","10.35","9.83","10.48","15.10"
"Trent Ferguson","Ore","Big10","10.34","10.02","13.10","12.55"
"Daniel Cruz","NCSt","ACC","10.34","10.21","10.90","10.18"
"Dominic Steward","Tul","Amer","10.34","11.95","11.26","10.04"
"Greg Knox","Mass","MAC","10.34","10.23","10.04","16.20"
"Peter Jones","ND","Inde","10.34","9.65","10.33","10.34"
"Rhino Tapa'atoutai","Zona","Big12","10.33","10.68","10.24","12.56"
"Otto Janse Van Rensburg","MTSU","CUSA","10.33","8.92","12.39","14.89"
"Chapman Pendergrass","Clem","ACC","10.33","10.85","11.18","10.30"
"Cole Surber","UVA","ACC","10.32","9.64","9.61","10.80"
"Quinton Harris","ColSt","Pac12","10.32","10.91","9.58","14.56"
"Mo Clipper Jr.","GASo","SBC","10.32","10.24","9.59","16.38"
"Brandon Smith","WMich","MAC","10.31","8.98","12.26","16.00"
"Mario Nash","MissSt","SEC","10.31","10.31","10.31","10.31"
"Maxwell Robinson","GASt","SBC","10.30","10.30","10.30","10.30"
"Tyler Bell","Troy","SBC","10.30","10.31","9.44","11.41"
"Liam Vaughan","WMich","MAC","10.30","10.11","10.46","9.94"
"Jani Norwood","BC","ACC","10.30","10.14","10.03","11.23"
"Spencer Dowland","MissSt","SEC","10.29","10.26","7.41","10.07"
"Elliot Demaine","Wake","ACC","10.28","9.64","12.31","11.55"
"Demetri Manning","Ore","Big10","10.28","10.24","10.83","10.41"
"Darrin Strey","LSU","SEC","10.28","10.70","11.97","10.20"
"Gavin Crawford","VT","ACC","10.27","10.27","10.75","12.73"
"Patrick McMath","TT","Big12","10.27","10.33","10.24","12.69"
"Jayden Todd","FSU","ACC","10.27","10.07","12.99","11.95"
"Jared Smith","Rut","Big10","10.27","10.27","10.27","10.27"
"Harrison Cluff","Bay","Big12","10.27","10.39","8.04","10.23"
"Jonah Smith","JMU","SBC","10.26","10.26","10.26","10.26"
"Ryan Walker","JackSt","CUSA","10.25","10.00","11.55","15.89"
"Mateo Rodriguez","NMSt","CUSA","10.25","9.78","10.15","16.34"
"Davis Dotson","Tuls","Amer","10.25","10.31","10.54","10.43"
"Alexis Sanchez","BG","MAC","10.25","8.22","9.54","13.62"
"Jayden Mann","Cuse","ACC","10.25","10.09","11.71","10.71"
"Johnny Garrett","VT","ACC","10.24","10.89","8.77","15.59"
"Da'Ron Parks","UNC","ACC","10.24","10.24","10.24","10.24"
"Jeremy Schleicher","WMich","MAC","10.24","10.44","9.87","14.19"
"Tyler Cappi","Troy","SBC","10.24","10.83","8.79","15.59"
"Devontae Armstrong","MiaOH","MAC","10.24","10.24","10.24","10.24"
"Mason Short","UGA","SEC","10.23","10.15","12.45","11.79"
"Jordan Davis","UCLA","Big10","10.23","11.73","10.72","14.72"
"Marlen Bright","VT","ACC","10.23","10.23","10.23","10.23"
"Deylin Hasert","GaSt","SBC","10.23","11.78","10.09","10.90"
"Mark Faircloth","Fla","SEC","10.23","10.28","8.85","9.23"
"Nicholas Howard","Pitt","ACC","10.23","10.23","10.23","10.23"
"Nick Howard","Pitt","ACC","10.23","10.23","10.23","10.23"
"Julian (Juju) Marks","Neb","Big10","10.23","10.23","10.23","10.23"
"Dylan Shaw","NoTex","Amer","10.22","10.04","12.98","12.10"
"Ben Roebuck","WMich","MAC","10.22","10.20","7.04","10.81"
"Evan Bushong","JMU","SBC","10.22","10.28","12.86","11.79"
"Dasan Smith","CMich","MAC","10.22","10.75","8.30","14.16"
"Elishah Jackett","Wash","Big10","10.22","10.22","10.22","10.22"
"Cade McConnell","Vand","SEC","10.21","10.57","8.31","15.39"
"Jarvis Strickland","Lou","ACC","10.21","10.21","10.21","10.21"
"Marek Jin","BC","ACC","10.21","10.21","10.21","10.21"
"Xavier Allen","Mem","Amer","10.20","10.10","9.96","15.31"
"Rory Callahan","CMich","MAC","10.20","11.14","11.16","11.01"
"Brian Williams Jr.","UTEP","MWC","10.20","10.33","10.20","15.36"
"Tyler Gibson","UCF","Big12","10.19","9.07","13.10","13.33"
"Nicolas Robertson","Tex","SEC","10.19","10.19","10.19","10.19"
"Jalayne Miller","Stan","ACC","10.19","10.19","10.19","10.19"
"Dom Silvia","Char","Amer","10.19","10.23","9.38","11.62"
"Pherleski Martin","GaSt","SBC","10.19","10.84","9.14","12.32"
"Eli Bickel","MichSt","Big10","10.19","10.19","10.19","10.19"
"Vincent Johnson, Jr.","TCU","Big12","10.19","10.19","10.19","10.19"
"William Satterwhite II","LSU","SEC","10.19","11.28","10.56","13.65"
"Rustin Young","MichSt","Big10","10.19","10.76","8.46","16.32"
"Tai Ray","WKU","CUSA","10.18","10.49","10.91","10.33"
"Naeer Jackson","Lou","ACC","10.18","9.76","10.31","14.99"
"Andrew Rosinski","GATech","ACC","10.18","10.18","10.18","10.18"
"Will Reed","GATech","ACC","10.18","8.90","11.03","15.27"
"Kasen Carpenter","KU","Big12","10.18","12.65","9.10","16.15"
"Carter Guillaume","OreSt","Pac12","10.17","13.21","9.07","15.27"
"Matthew Parker","Bay","Big12","10.17","9.88","11.28","10.30"
"Brandon Hansen","Illini","Big10","10.16","10.03","14.52","11.31"
"Hayes Creel","ECU","Amer","10.16","9.44","10.57","15.48"
"Mataalii Benjamin","Utah","Big12","10.16","10.16","10.16","10.16"
"Jerome Williams","Minn","Big10","10.16","10.16","10.16","10.16"
"Cole Dellinger","EMich","MAC","10.15","10.15","10.15","10.15"
"Marcus Mascoll","GaSt","SBC","10.15","10.15","10.15","10.15"
"Dominick Campbell","UCF","Big12","10.15","10.15","10.15","10.15"
"Champ Smith","Illini","Big10","10.15","10.15","10.15","10.15"
"Chauncey Gooden","Col","Big12","10.14","9.52","12.22","11.23"
"Daniel Akinkunmi","OU","SEC","10.13","10.49","9.51","10.20"
"Logan Schram","TCU","Big12","10.13","10.13","10.13","10.13"
"Makai Saina","Purd","Big10","10.13","10.13","10.13","10.13"
"Braden Cain","SMiss","SBC","10.12","9.72","10.46","14.78"
"Trevor Bindel","IASt","Big12","10.12","10.09","9.77","10.95"
"Veguer Jean-Jumeau","BC","ACC","10.11","8.48","12.81","15.13"
"Will Thomas","UNLV","MWC","10.11","9.99","11.25","14.57"
"DJ Chester","MissSt","SEC","10.11","12.82","9.49","13.52"
"Jonas Muya","WVU","Big12","10.11","10.11","10.11","10.11"
"Noah Best","OU","SEC","10.11","10.11","10.11","10.11"
"Alec Johnson","WKU","CUSA","10.11","10.48","10.14","16.30"
"Miguel Cedeno","FIU","CUSA","10.11","11.03","7.68","15.55"
"Ethan Kramer","ECU","Amer","10.10","10.30","11.36","15.75"
"Christian Richter","Conn","Inde","10.10","9.67","12.41","13.97"
"Eddie Tuerk","Illini","Big10","10.10","10.08","10.55","10.19"
"Mofe Adewole","Kent","MAC","10.10","9.91","10.66","15.71"
"Tobias Steppes","TCU","Big12","10.09","10.09","10.09","10.09"
"Kyle Cox","Boise","Pac12","10.09","11.68","6.41","13.68"
"Gage Schmidt","NDSt","MWC","10.09","9.61","12.28","12.20"
"Brandon Anderson","Mizz","SEC","10.09","10.09","10.09","10.09"
"Nathan Hale","Zona","Big12","10.09","8.50","11.21","15.99"
"Tyreek Major","WKU","CUSA","10.07","10.22","10.88","10.49"
"Cortavius Tisaby","AZSt","Big12","10.07","10.07","10.07","10.07"
"Michael Roeske","Wisc","Big10","10.07","10.07","10.07","10.07"
"Chancellor Campbell","Fla","SEC","10.07","10.07","10.07","10.07"
"Braden Carter","USF","Amer","10.07","9.54","10.70","12.49"
"Logan Reichert","Mizz","SEC","10.07","10.66","10.66","10.27"
"Quinn Grovesteen-Matchey","Wyo","MWC","10.07","9.72","9.98","12.42"
"Ja'Elyne Matthews","MissSt","SEC","10.06","10.06","10.06","10.06"
"Benji Makelela","IASt","Big12","10.06","10.06","10.06","10.06"
"Carlos Moore","Mary","Big10","10.06","11.71","9.30","14.85"
"Robby Martin","Marsh","SBC","10.06","9.76","10.80","10.02"
"Tk Whitset","NCSt","ACC","10.06","10.06","10.06","10.06"
"Jude McCoskey","Purd","Big10","10.05","10.12","9.71","15.00"
"Tyriq Poindexter","App","SBC","10.05","10.98","9.97","13.72"
"Kalolo Ta'aga","WashSt","Pac12","10.05","10.14","7.37","10.62"
"Paul Mubenga","Neb","Big10","10.04","8.98","10.93","16.06"
"Easton Ware","Clem","ACC","10.04","10.04","10.04","10.04"
"George Steih","Wake","ACC","10.04","9.56","11.18","14.66"
"Roy Brackins III","LATech","CUSA","10.04","11.27","8.85","14.35"
"Kam Pringle","Cuse","ACC","10.04","10.28","9.79","13.06"
"Grant Zimmerly","Tol","MAC","10.03","9.21","9.85","15.27"
"Miles Walker","Boise","Pac12","10.03","10.03","10.03","10.03"
"Max Wright","SMU","ACC","10.03","10.03","10.03","10.03"
"Benjamin Eziuka","VT","ACC","10.03","10.03","10.03","10.03"
"Zykie Helton","UGA","SEC","10.03","10.03","10.03","10.03"
"Bear McWhorter","Aub","SEC","10.03","10.03","10.03","10.03"
"Larry Crawford","Hou","Big12","10.02","9.92","10.36","10.63"
"Mark Robinson","UK","SEC","10.02","9.12","11.13","16.06"
"Markell Samuel","GATech","ACC","10.02","9.60","10.61","16.00"
"Rob Lapuaho","AZSt","Big12","10.02","9.65","11.00","10.14"
"Sean Thompkins Jr.","LSU","SEC","10.01","9.64","11.11","15.43"
"Zay Alexander","ULLaf","SBC","10.01","10.26","9.99","10.20"
"Darius Afalava","OU","SEC","10.00","10.00","10.00","10.00"
"Tyler Lee","Army","Amer","10.00","9.99","7.34","9.75"
"Brooks Bahr","Mich","Big10","10.00","10.00","8.43","10.03"
"Jacob Maiava","UCF","Big12","9.99","10.09","9.87","9.55"
"Marquise Thorpe-Taylor","Fres","Pac12","9.99","9.99","9.99","9.99"
"Kaedin Massey","JMU","SBC","9.99","9.99","9.99","9.99"
"Denaris DeRosa Jr.","Haw","MWC","9.98","11.44","7.80","12.77"
"Luke Rector","Tol","MAC","9.98","8.86","12.75","15.72"
"Blake Martin","Lib","CUSA","9.98","9.00","12.26","14.65"
"Ashton Rivera","Cal","ACC","9.98","10.07","9.04","16.12"
"TJ Lockhart","MissSt","SEC","9.98","9.78","7.53","10.14"
"Jacob Anderson","OreSt","Pac12","9.97","11.73","10.27","10.96"
"Tristan Cook","Ball","MAC","9.97","9.37","11.81","15.20"
"Zach Bandy","Ball","MAC","9.97","9.24","10.89","10.55"
"Precious Ekeh","KennSt","CUSA","9.97","10.84","10.07","16.48"
"Daniel Moleni","SJSt","MWC","9.96","9.53","12.15","11.83"
"John Randle Jr.","UtSt","Pac12","9.96","9.98","9.84","10.62"
"Deryc Plazz","Aub","SEC","9.96","9.96","9.63","10.56"
"Zach Lewis","UGA","SEC","9.95","9.95","9.95","9.95"
"Alex Gale","MTSU","CUSA","9.95","9.51","9.87","15.32"
"Colin Sorensen","Mizz","SEC","9.95","9.47","10.60","15.49"
"Tigana Cisse","Ohio","MAC","9.95","10.56","10.87","13.35"
"Tylan George","Tul","Amer","9.95","9.95","9.95","9.95"
"Brett Bordelon","LSU","SEC","9.95","9.95","9.95","9.95"
"Shawn Hammerbeck","Neb","Big10","9.94","10.44","11.31","9.88"
"Jacob Kropchak","Tol","MAC","9.94","9.88","10.10","9.65"
"Greg Smith Jr.","MiaOH","MAC","9.94","11.21","6.43","15.64"
"Armond Owens","NMSt","CUSA","9.94","8.85","11.10","15.21"
"Navarro Schunke","KSt","Big12","9.94","9.94","9.94","9.94"
"Matthew Montgomery","SDSU","Pac12","9.93","8.99","10.93","15.22"
"Dennis Uzochukwu","UGA","SEC","9.93","9.93","9.93","9.93"
"Chandler Donaway","Wyo","MWC","9.93","9.66","11.13","15.30"
"Jahzare Jackson","UGA","SEC","9.92","9.68","13.71","12.43"
"Andrew Williams","BYU","Big12","9.92","9.90","7.36","10.02"
"Nathan Natoli","Buff","MAC","9.92","9.41","10.41","15.73"
"Rakeem Johnson","MichSt","Big10","9.92","9.44","9.33","14.31"
"Moses Sparks Jr.","Utah","Big12","9.92","9.92","9.92","9.92"
"Owen Linder","Iowa","Big10","9.92","9.92","9.92","9.92"
"Colin Whitters","Iowa","Big10","9.92","9.92","9.92","9.92"
"Kai Greer","Stan","ACC","9.92","9.92","9.92","9.92"
"Camden Jensen","UCLA","Big10","9.92","9.92","9.92","9.92"
"G'Nivre Carr","Fla","SEC","9.92","9.92","9.92","9.92"
"Ma'Kyi Lee","NMSt","CUSA","9.92","10.63","9.88","12.60"
"Gage Ginther","Tenn","SEC","9.91","7.23","10.41","10.80"
"Tyrone Davis","Buff","MAC","9.91","14.13","5.44","9.66"
"Dylan Villarouel","KSt","Big12","9.90","9.37","13.12","11.66"
"Aqil Meredith-Smith","FAU","Amer","9.90","9.42","12.23","15.70"
"Cam Stancil","JackSt","CUSA","9.90","8.30","12.24","16.49"
"Apisa Poumele","CoCar","SBC","9.90","10.47","6.02","16.28"
"Dallas Fincher","SDSU","Pac12","9.90","11.85","9.72","12.86"
"Nick Oliveira","Rut","Big10","9.89","11.02","9.87","10.74"
"Charlie Hoitink","Stan","ACC","9.89","9.89","9.89","9.89"
"Jake Flores","Wash","Big10","9.89","9.89","8.92","9.93"
"Cam Clark","Wisc","Big10","9.89","9.89","9.89","9.89"
"Christian Martin","Illini","Big10","9.88","11.10","9.02","15.02"
"LJ Prudhomme","MissSt","SEC","9.88","9.71","11.14","10.30"
"Clinton Azubuike","Vand","SEC","9.88","11.15","9.84","12.15"
"Kaden Strayhorn","Bama","SEC","9.88","10.12","10.52","12.25"
"Noah Dunham","WashSt","Pac12","9.88","9.54","11.48","15.00"
"Nino Francavilla","Buff","MAC","9.88","12.08","9.68","11.20"
"Nic Cruji","Char","Amer","9.88","10.47","10.43","14.83"
"Fred Johnson","Conn","Inde","9.88","8.73","9.25","9.80"
"Sullivan Garvin","ND","Inde","9.88","9.88","9.88","9.88"
"Kilian Registe","TCU","Big12","9.87","9.87","9.87","9.87"
"Josiah Thompson","SoCar","SEC","9.87","10.50","9.54","15.46"
"Khayree Lee Jr.","SoAla","SBC","9.87","9.87","9.87","9.87"
"Jackson Christian","Tex","SEC","9.87","9.87","9.87","9.87"
"Pat Barnett","Fres","Pac12","9.86","9.56","12.45","10.97"
"Lane Parks","Army","Amer","9.86","10.48","9.61","9.90"
"Jaylan Jeffers","UCLA","Big10","9.85","10.81","10.41","12.23"
"James Thomas Jr.","BG","MAC","9.85","10.37","7.68","15.13"
"Sean Na'a","UCLA","Big10","9.85","8.46","9.99","13.98"
"Tanner Burlingame","Mass","MAC","9.85","9.71","9.48","9.10"
"Jaymon Lamb","UTEP","MWC","9.84","10.03","8.98","14.54"
"Jeremias Heard","Tenn","SEC","9.84","8.94","10.31","10.55"
"Garrison Blank","SacSt","MAC","9.84","9.84","9.84","9.84"
"Ace Hamilton","Mich","Big10","9.84","9.84","9.84","9.84"
"Kyrik Mason","UAB","Amer","9.83","10.07","9.58","13.35"
"Armando Nieves","SoCar","SEC","9.82","11.19","9.68","13.13"
"Markevian Blake","JackSt","CUSA","9.82","9.60","11.75","10.76"
"Brock Stukes","SHSt","CUSA","9.82","12.07","9.14","14.83"
"Guzzy Kayed","EMich","MAC","9.81","9.69","11.32","13.75"
"Nolan Davenport","Wisc","Big10","9.81","9.81","8.83","9.84"
"Barrett Nelson","Wisc","Big10","9.80","10.15","9.80","10.52"
"Daughtry Richardson","CoCar","SBC","9.80","10.13","9.52","14.90"
"Danny Fortson","Ohio","MAC","9.80","9.80","9.80","9.80"
"Joseph White","Cuse","ACC","9.80","9.80","9.80","9.80"
"Niko Paic","ECU","Amer","9.79","10.36","10.86","16.09"
"Zak Yamauchi","BYU","Big12","9.79","11.20","4.30","13.42"
"Jack Shaffer","Wash","Big10","9.79","9.78","10.04","9.80"
"Ashton Tripp","WashSt","Pac12","9.78","9.84","9.86","14.97"
"Herb Gray","UNLV","MWC","9.78","9.78","9.78","9.78"
"Cameron Ambrose","ArkSt","SBC","9.77","7.54","9.01","8.97"
"Jatavius Shivers","Purd","Big10","9.77","10.07","8.98","13.53"
"Jonte Newman","Tex","SEC","9.76","9.77","8.48","10.63"
"Alex Woods","SMU","ACC","9.76","11.23","9.73","10.46"
"Trumain Lawson","Ohio","MAC","9.76","9.11","11.03","15.61"
"Courtney Heard","GATech","ACC","9.76","9.76","9.76","9.76"
"Nikau Hepi","FSU","ACC","9.76","9.76","9.76","9.76"
"Desmond Green","Fla","SEC","9.76","9.76","9.76","9.76"
"Brian Grant","Mem","Amer","9.76","9.57","12.51","12.82"
"Jameson Riggs","GATech","ACC","9.75","10.05","9.81","14.20"
"Manamo'ui Muti","AZSt","Big12","9.75","9.75","9.75","9.75"
"Joshua Blackston","Rut","Big10","9.75","9.75","9.75","9.75"
"Joe Crocker","Buff","MAC","9.74","11.10","10.04","10.79"
"Michael Wooten","USF","Amer","9.73","10.77","8.82","12.14"
"DeAndre Harper","KU","Big12","9.73","9.78","8.13","9.44"
"Braden Wilmes","Clem","ACC","9.72","9.72","9.72","9.72"
"Will Kemna","Mizz","SEC","9.72","9.72","9.72","9.72"
"Cj Dawson II","Ohio","MAC","9.72","10.36","10.79","15.32"
"C.J. Van Buren","Temp","Amer","9.72","11.62","9.27","14.50"
"Ashton Lepo","OKSt","Big12","9.72","9.92","10.18","14.57"
"Jakoby Isom","ULLaf","SBC","9.71","9.92","10.88","11.87"
"Evan Ferguson","Marsh","SBC","9.70","12.57","9.49","12.53"
"Bamidele Badusi","TexSt","Pac12","9.70","9.81","10.55","9.90"
"Talan Chandler","ArkSt","SBC","9.69","10.45","10.18","10.00"
"Roq Montgomery","WKU","CUSA","9.69","9.79","9.49","13.21"
"Tye Hylton","LATech","CUSA","9.69","9.69","9.69","9.69"
"Cole Allen","Duke","ACC","9.69","9.67","6.42","9.98"
"Roseby Lubintus","VT","ACC","9.68","9.68","9.68","9.68"
"Anthony Hall","UNC","ACC","9.68","9.68","9.68","9.68"
"Courtlin Heard","GATech","ACC","9.68","9.68","9.68","9.68"
"Parker Pritchett","Aub","SEC","9.68","9.68","9.68","9.68"
"Brandon Homady","UNC","ACC","9.68","9.67","9.63","9.47"
"Jim Harris Jr.","UVA","ACC","9.68","9.68","8.69","9.69"
"Chase Duarte","KSt","Big12","9.68","9.97","4.38","11.72"
"Malachi Wood","UK","SEC","9.67","6.51","11.58","14.95"
"Isiah Stoudemire","WKU","CUSA","9.67","9.66","9.58","9.84"
"Michael Gibbs","NCSt","ACC","9.67","9.67","9.67","9.67"
"Brian Tapu","SJSt","MWC","9.67","9.32","9.71","9.68"
"Jack Hines","Wake","ACC","9.67","9.06","13.56","12.08"
"Kenny Jones","Rut","Big10","9.67","9.46","10.60","9.77"
"TyQuez Richardson","UGA","SEC","9.67","9.51","9.32","15.71"
"Tevin Shaw","UNM","MWC","9.67","9.00","9.49","13.30"
"Colten Christian","Tuls","Amer","9.67","9.99","10.99","10.60"
"Erwil Anthony, Jr.","Lib","CUSA","9.67","10.58","6.08","12.04"
"Mercer Luniewski","SDSU","Pac12","9.66","9.66","9.66","9.66"
"Shaun Torgeson","OKSt","Big12","9.66","9.20","10.12","15.98"
"Spencer Beckeman","WMich","MAC","9.66","9.48","10.47","9.75"
"Amarii Atchison","JackSt","CUSA","9.66","9.32","10.27","13.98"
"Oscar Weigel","Fres","Pac12","9.66","9.34","10.96","15.15"
"John Bock II","Tul","Amer","9.65","9.45","9.93","14.92"
"Brock Heath","KSt","Big12","9.65","9.65","9.65","9.65"
"Peter Pesansky","UNC","ACC","9.65","9.65","9.65","9.65"
"Snoop Leota-Amaama","Nev","MWC","9.65","9.45","9.97","15.49"
"Derrell Johnson II","Wake","ACC","9.65","9.20","10.41","10.20"
"Benjamin Novak","Ind","Big10","9.65","9.65","9.65","9.65"
"Jordan Fields","Pitt","ACC","9.65","9.65","9.65","9.65"
"Kamo'i Huihui-White","Cal","ACC","9.65","9.65","9.65","9.65"
"Ben Novak","Ind","Big10","9.65","9.65","9.65","9.65"
"Ethan Williams","GASo","SBC","9.64","9.25","9.64","9.96"
"Melvin Puckett","Akr","MAC","9.64","11.44","9.70","15.85"
"LaParka Langston","UCF","Big12","9.64","9.57","8.72","9.73"
"Caleb Pyfrom","NMSt","CUSA","9.64","9.64","9.64","9.64"
"Tj Lawrence","USF","Amer","9.64","9.79","7.10","11.16"
"Danilo Guberinich","TT","Big12","9.63","9.58","10.25","9.76"
"Ryan Jostes","Mizz","SEC","9.63","9.63","8.11","9.71"
"Josh Magin","NDSt","MWC","9.63","9.60","10.69","15.16"
"Aiden Pastoriza","Cincy","Big12","9.63","9.62","7.34","9.49"
"Payton Kirkland","UAB","Amer","9.63","10.10","7.25","13.21"
"Zafir Stewart","Illini","Big10","9.63","9.60","9.98","9.63"
"Jordan Thompson","CoCar","SBC","9.63","9.63","9.34","9.60"
"Eagan Boyer","Fla","SEC","9.63","10.65","7.55","13.52"
"Nick Hallock","Utah","Big12","9.63","9.63","9.63","9.63"
"Colin Amick","IASt","Big12","9.62","8.78","11.38","15.33"
"Nuku Mafi","Purd","Big10","9.62","8.63","11.25","16.62"
"Manasseh Ripert","FIU","CUSA","9.62","8.80","11.05","14.98"
"Tolu Olajide","Wake","ACC","9.62","9.37","10.04","15.21"
"Jalen Klemm","AZSt","Big12","9.62","9.73","9.54","14.87"
"Michael Troutman III","VT","ACC","9.61","9.61","9.61","9.61"
"Landry Cannon","ArkSt","SBC","9.61","11.33","9.68","10.25"
